x:0.04	y:0.06	z:0.98	t:15104.00
x:0.03	y:0.05	z:0.98	t:15120.00
x:0.04	y:0.02	z:0.96	t:15137.00
x:0.03	y:-0.00	z:0.98	t:15154.00
x:0.03	y:0.00	z:0.98	t:15170.00
x:0.04	y:0.05	z:0.98	t:15187.00
x:0.03	y:0.04	z:0.98	t:15204.00
x:0.03	y:0.02	z:0.97	t:15220.00
x:0.03	y:0.01	z:0.96	t:15237.00
x:0.03	y:-0.01	z:0.96	t:15254.00
x:0.03	y:-0.01	z:0.95	t:15271.00
x:0.03	y:0.02	z:0.95	t:15287.00
x:0.04	y:0.10	z:0.96	t:15304.00
x:0.03	y:0.02	z:0.98	t:15320.00
x:0.02	y:-0.04	z:1.00	t:15337.00
x:0.03	y:-0.01	z:0.92	t:15354.00
x:0.03	y:0.02	z:0.95	t:15371.00
x:0.04	y:0.04	z:0.98	t:15387.00
x:0.04	y:0.02	z:0.97	t:15404.00
x:0.05	y:0.11	z:0.99	t:15421.00
x:0.07	y:0.12	z:1.03	t:15437.00
x:0.06	y:0.04	z:0.97	t:15454.00
x:0.06	y:0.04	z:0.95	t:15470.00
x:0.02	y:-0.08	z:0.91	t:15487.00
x:-0.09	y:-0.42	z:1.03	t:15504.00
x:-0.38	y:-1.05	z:1.37	t:15521.00
x:-0.76	y:-2.71	z:1.62	t:15537.00
x:-0.87	y:-1.50	z:1.35	t:15553.00
x:-0.58	y:-1.40	z:0.94	t:15570.00
x:-1.04	y:-0.29	z:1.28	t:15587.00
x:-1.00	y:0.38	z:0.91	t:15604.00
x:-0.69	y:2.23	z:0.57	t:15621.00
x:0.07	y:3.80	z:-0.04	t:15637.00
x:-0.03	y:1.49	z:0.20	t:15654.00
x:-0.05	y:0.75	z:0.63	t:15670.00
x:0.03	y:0.88	z:0.98	t:15687.00
x:0.06	y:1.03	z:0.95	t:15704.00
x:0.01	y:0.89	z:0.56	t:15720.00
x:-0.06	y:0.81	z:0.59	t:15737.00
x:-0.13	y:0.59	z:0.70	t:15754.00
x:-0.16	y:0.18	z:0.78	t:15770.00
x:-0.09	y:0.20	z:0.89	t:15787.00
x:-0.09	y:0.18	z:0.88	t:15804.00
x:-0.15	y:0.06	z:0.93	t:15820.00
x:-0.21	y:-0.22	z:1.07	t:15837.00
x:-0.22	y:-0.53	z:1.31	t:15854.00
x:-0.23	y:-0.97	z:1.07	t:15871.00
x:-0.14	y:-1.11	z:0.96	t:15887.00
x:0.02	y:-0.36	z:1.21	t:15904.00
x:0.03	y:-0.19	z:1.19	t:15921.00
